id,asset,year,rep_period,time_block_start,time_block_end,solution
1,AT_Battery,2030,1,1,1,0.0
2,AT_Battery,2030,1,2,2,0.0
3,AT_Battery,2030,1,3,3,0.0
4,AT_Battery,2030,1,4,4,0.0
5,AT_Battery,2030,1,5,5,0.0
6,AT_Battery,2030,1,6,6,0.0
7,AT_Battery,2030,1,7,7,0.0
8,AT_Battery,2030,1,8,8,0.0
9,AT_Battery,2030,1,9,9,0.0
10,AT_Battery,2030,1,10,10,0.0
11,AT_Battery,2030,1,11,11,0.0
12,AT_Battery,2030,1,12,12,0.0
13,AT_Battery,2030,1,13,13,0.0
14,AT_Battery,2030,1,14,14,0.0
15,AT_Battery,2030,1,15,15,0.0
16,AT_Battery,2030,1,16,16,0.0
17,AT_Battery,2030,1,17,17,0.0
18,AT_Battery,2030,1,18,18,0.0
19,AT_Battery,2030,1,19,19,0.0
20,AT_Battery,2030,1,20,20,0.0
21,AT_Battery,2030,1,21,21,0.0
22,AT_Battery,2030,1,22,22,0.0
23,AT_Battery,2030,1,23,23,0.0
24,AT_Battery,2030,1,24,24,0.0
25,AT_Battery,2030,2,1,1,0.0
26,AT_Battery,2030,2,2,2,0.0
27,AT_Battery,2030,2,3,3,0.0
28,AT_Battery,2030,2,4,4,0.0
29,AT_Battery,2030,2,5,5,0.0
30,AT_Battery,2030,2,6,6,0.0
31,AT_Battery,2030,2,7,7,0.0
32,AT_Battery,2030,2,8,8,0.0
33,AT_Battery,2030,2,9,9,0.0
34,AT_Battery,2030,2,10,10,0.0
35,AT_Battery,2030,2,11,11,0.0
36,AT_Battery,2030,2,12,12,0.0
37,AT_Battery,2030,2,13,13,0.0
38,AT_Battery,2030,2,14,14,0.0
39,AT_Battery,2030,2,15,15,0.0
40,AT_Battery,2030,2,16,16,0.0
41,AT_Battery,2030,2,17,17,0.0
42,AT_Battery,2030,2,18,18,0.0
43,AT_Battery,2030,2,19,19,0.0
44,AT_Battery,2030,2,20,20,0.0
45,AT_Battery,2030,2,21,21,0.0
46,AT_Battery,2030,2,22,22,0.0
47,AT_Battery,2030,2,23,23,0.0
48,AT_Battery,2030,2,24,24,0.0
49,AT_Battery,2030,3,1,1,0.0
50,AT_Battery,2030,3,2,2,0.0
51,AT_Battery,2030,3,3,3,0.0
52,AT_Battery,2030,3,4,4,0.0
53,AT_Battery,2030,3,5,5,0.0
54,AT_Battery,2030,3,6,6,0.0
55,AT_Battery,2030,3,7,7,0.0
56,AT_Battery,2030,3,8,8,0.0
57,AT_Battery,2030,3,9,9,0.0
58,AT_Battery,2030,3,10,10,0.0
59,AT_Battery,2030,3,11,11,0.0
60,AT_Battery,2030,3,12,12,0.0
61,AT_Battery,2030,3,13,13,0.0
62,AT_Battery,2030,3,14,14,0.0
63,AT_Battery,2030,3,15,15,0.0
64,AT_Battery,2030,3,16,16,0.0
65,AT_Battery,2030,3,17,17,0.0
66,AT_Battery,2030,3,18,18,0.0
67,AT_Battery,2030,3,19,19,0.0
68,AT_Battery,2030,3,20,20,0.0
69,AT_Battery,2030,3,21,21,0.0
70,AT_Battery,2030,3,22,22,0.0
71,AT_Battery,2030,3,23,23,0.0
72,AT_Battery,2030,3,24,24,0.0
73,AT_Battery,2030,4,1,1,0.0
74,AT_Battery,2030,4,2,2,0.0
75,AT_Battery,2030,4,3,3,0.0
76,AT_Battery,2030,4,4,4,0.0
77,AT_Battery,2030,4,5,5,0.0
78,AT_Battery,2030,4,6,6,0.0
79,AT_Battery,2030,4,7,7,0.0
80,AT_Battery,2030,4,8,8,0.0
81,AT_Battery,2030,4,9,9,0.0
82,AT_Battery,2030,4,10,10,0.0
83,AT_Battery,2030,4,11,11,0.0
84,AT_Battery,2030,4,12,12,0.0
85,AT_Battery,2030,4,13,13,0.0
86,AT_Battery,2030,4,14,14,0.0
87,AT_Battery,2030,4,15,15,0.0
88,AT_Battery,2030,4,16,16,0.0
89,AT_Battery,2030,4,17,17,0.0
90,AT_Battery,2030,4,18,18,0.0
91,AT_Battery,2030,4,19,19,0.0
92,AT_Battery,2030,4,20,20,0.0
93,AT_Battery,2030,4,21,21,0.0
94,AT_Battery,2030,4,22,22,0.0
95,AT_Battery,2030,4,23,23,0.0
96,AT_Battery,2030,4,24,24,0.0
97,AT_Battery,2030,5,1,1,0.0
98,AT_Battery,2030,5,2,2,0.0
99,AT_Battery,2030,5,3,3,0.0
100,AT_Battery,2030,5,4,4,0.0
101,AT_Battery,2030,5,5,5,0.0
102,AT_Battery,2030,5,6,6,0.0
103,AT_Battery,2030,5,7,7,0.0
104,AT_Battery,2030,5,8,8,0.0
105,AT_Battery,2030,5,9,9,0.0
106,AT_Battery,2030,5,10,10,0.0
107,AT_Battery,2030,5,11,11,0.0
108,AT_Battery,2030,5,12,12,0.0
109,AT_Battery,2030,5,13,13,0.0
110,AT_Battery,2030,5,14,14,0.0
111,AT_Battery,2030,5,15,15,0.0
112,AT_Battery,2030,5,16,16,0.0
113,AT_Battery,2030,5,17,17,0.0
114,AT_Battery,2030,5,18,18,0.0
115,AT_Battery,2030,5,19,19,0.0
116,AT_Battery,2030,5,20,20,0.0
117,AT_Battery,2030,5,21,21,0.0
118,AT_Battery,2030,5,22,22,0.0
119,AT_Battery,2030,5,23,23,0.0
120,AT_Battery,2030,5,24,24,0.0
121,AT_Battery,2030,6,1,1,0.0
122,AT_Battery,2030,6,2,2,0.0
123,AT_Battery,2030,6,3,3,0.0
124,AT_Battery,2030,6,4,4,0.0
125,AT_Battery,2030,6,5,5,0.0
126,AT_Battery,2030,6,6,6,0.0
127,AT_Battery,2030,6,7,7,0.0
128,AT_Battery,2030,6,8,8,0.0
129,AT_Battery,2030,6,9,9,0.0
130,AT_Battery,2030,6,10,10,0.0
131,AT_Battery,2030,6,11,11,0.0
132,AT_Battery,2030,6,12,12,0.0
133,AT_Battery,2030,6,13,13,0.0
